Layer,MACs,Percentage
encoder.layers.1.0.fn,246123264.0,8.341421680205375
encoder.layers.0.0.fn,246123264.0,8.341421680205375
encoder.layers.2.0.fn,246123264.0,8.341421680205375
encoder.layers.2.1.fn.net.3,238288896.0,8.075905263659285
encoder.layers.2.1.fn.net.0,238288896.0,8.075905263659285
encoder.layers.0.1.fn.net.3,238288896.0,8.075905263659285
encoder.layers.1.1.fn.net.0,238288896.0,8.075905263659285
encoder.layers.0.1.fn.net.0,238288896.0,8.075905263659285
encoder.layers.1.1.fn.net.3,238288896.0,8.075905263659285
encoder.layers.0.0.fn.to_qkv,178716672.0,6.056928947744463
encoder.layers.1.0.fn.to_qkv,178716672.0,6.056928947744463
encoder.layers.2.0.fn.to_qkv,178716672.0,6.056928947744463
encoder.layers.1.0.fn.to_out.0,59572224.0,2.0189763159148213
encoder.layers.0.0.fn.to_out.0,59572224.0,2.0189763159148213
encoder.layers.2.0.fn.to_out.0,59572224.0,2.0189763159148213
decoder_embed,39321600.0,1.3326576342672087
decoder_blocks.attention_block.fn.fn.to_qkv,20643840.0,0.6996452579902847
patch_embed.proj,7680000.0,0.2602846941928142
