Layer,MACs,Percentage
encoder.layers.0.0.fn,836469504.0,8.477684314369608
encoder.layers.2.0.fn,836469504.0,8.477684314369608
encoder.layers.1.0.fn,836469504.0,8.477684314369608
encoder.layers.1.1.fn.net.0,757334016.0,7.675639909738708
encoder.layers.1.1.fn.net.3,757334016.0,7.675639909738708
encoder.layers.0.1.fn.net.0,757334016.0,7.675639909738708
encoder.layers.0.1.fn.net.3,757334016.0,7.675639909738708
encoder.layers.2.1.fn.net.0,757334016.0,7.675639909738708
encoder.layers.2.1.fn.net.3,757334016.0,7.675639909738708
encoder.layers.1.0.fn.to_qkv,568000512.0,5.75672993230403
encoder.layers.0.0.fn.to_qkv,568000512.0,5.75672993230403
encoder.layers.2.0.fn.to_qkv,568000512.0,5.75672993230403
decoder_blocks.attention_block.fn.fn,338165760.0,3.427336615978862
encoder.layers.2.0.fn.to_out.0,189333504.0,1.918909977434677
encoder.layers.0.0.fn.to_out.0,189333504.0,1.918909977434677
encoder.layers.1.0.fn.to_out.0,189333504.0,1.918909977434677
decoder_embed,125829120.0,1.2752880431549254
decoder_blocks.mlp_block.fn.fn.net.3,20971520.0,0.21254800719248756
decoder_blocks.mlp_block.fn.fn.net.0,20971520.0,0.21254800719248756
decoder_blocks.attention_block.fn.fn.to_qkv,20643840.0,0.20922694458010496
patch_embed.proj,7680000.0,0.07783740497771761
decoder_blocks.attention_block.fn.fn.to_out,6881280.0,0.06974231486003499
fc1,163840.0,0.001660531306191309
