Layer,MACs,Percentage
decoder_blocks.3.attention_block.fn.fn,422707200.0,9.84818338233568
decoder_blocks.0.attention_block.fn.fn,422707200.0,9.84818338233568
decoder_blocks.1.attention_block.fn.fn,422707200.0,9.84818338233568
decoder_blocks.2.attention_block.fn.fn,422707200.0,9.84818338233568
encoder.layers.0.0.fn,193658880.0,4.511842154232857
encoder.layers.2.0.fn,193658880.0,4.511842154232857
encoder.layers.1.0.fn,193658880.0,4.511842154232857
encoder.layers.1.1.fn.net.0,188743680.0,4.39732839397314
encoder.layers.2.1.fn.net.0,188743680.0,4.39732839397314
encoder.layers.0.1.fn.net.3,188743680.0,4.39732839397314
encoder.layers.0.1.fn.net.0,188743680.0,4.39732839397314
encoder.layers.2.1.fn.net.3,188743680.0,4.39732839397314
encoder.layers.1.1.fn.net.3,188743680.0,4.39732839397314
encoder.layers.0.0.fn.to_qkv,141557760.0,3.2979962954798556
encoder.layers.1.0.fn.to_qkv,141557760.0,3.2979962954798556
encoder.layers.2.0.fn.to_qkv,141557760.0,3.2979962954798556
encoder.layers.2.0.fn.to_out.0,47185920.0,1.099332098493285
encoder.layers.0.0.fn.to_out.0,47185920.0,1.099332098493285
encoder.layers.1.0.fn.to_out.0,47185920.0,1.099332098493285
decoder_embed,31064064.0,0.7237269648414127
decoder_blocks.3.mlp_block.fn.fn.net.3,20971520.0,0.4885920437747934
decoder_blocks.0.mlp_block.fn.fn.net.3,20971520.0,0.4885920437747934
decoder_blocks.2.mlp_block.fn.fn.net.3,20971520.0,0.4885920437747934
decoder_blocks.3.mlp_block.fn.fn.net.0,20971520.0,0.4885920437747934
decoder_blocks.0.mlp_block.fn.fn.net.0,20971520.0,0.4885920437747934
decoder_blocks.1.mlp_block.fn.fn.net.3,20971520.0,0.4885920437747934
decoder_blocks.2.mlp_block.fn.fn.net.0,20971520.0,0.4885920437747934
decoder_blocks.1.mlp_block.fn.fn.net.0,20971520.0,0.4885920437747934
decoder_blocks.1.attention_block.fn.fn.to_qkv,20643840.0,0.48095779309081227
decoder_blocks.0.attention_block.fn.fn.to_qkv,20643840.0,0.48095779309081227
decoder_blocks.2.attention_block.fn.fn.to_qkv,20643840.0,0.48095779309081227
decoder_blocks.3.attention_block.fn.fn.to_qkv,20643840.0,0.48095779309081227
patch_embed.proj,7680000.0,0.17892775040580813
decoder_blocks.0.attention_block.fn.fn.to_out,6881280.0,0.1603192643636041
decoder_blocks.2.attention_block.fn.fn.to_out,6881280.0,0.1603192643636041
decoder_blocks.1.attention_block.fn.fn.to_out,6881280.0,0.1603192643636041
decoder_blocks.3.attention_block.fn.fn.to_out,6881280.0,0.1603192643636041
decoder_pred,5120000.0,0.11928516693720542
